
#From:.authword,Enter the correct password above and then type the characters you see in the picture below.
.authword,Introduzca la contraseña correcta arriba y, a continuación, escriba los caracteres que ve en la imagen siguiente.
#From:regenerate,Regenerate
regenerate,Regenerar
help642, Secuencia de caracteres que se utiliza para autenticar solicitudes de recursos en una red
#From: help643,Personal Area Network
help643,Red de ?rea Personal
#From: help644,The interconnection of networking devices within a range of 10 meters
help644,Interconexión de dispositivos de red en un radio de 10 metros
#From: help645,Physical layer
help645,Capa física
#From: help646,The first layer of the OSI model. Provides the hardware means of transmitting electrical signals on a data carrier
help646,La primera capa del modelo OSI. Suministra los medios de hardware para la transmisión de señales eléctricas en una portadora de datos
#From: help648,A utility program that verifies that a given Internet address exists and can receive messages. The utility sends a control packet to the given address and waits for a response.
help648,Programa que verifica que una determinada dirección de Internet existe y puede recibir mensajes. La utilidad envía un paquete de control a la dirección especificada y espera una respuesta.
#From: help649,PoE
help649,PoE
#From: help650,Power over Ethernet is the means of transmitting electricity over the unused pairs in a category 5 Ethernet cable
help650,Power over Ethernet es el medio de transmitir electricidad a través de los pares no utilizados en un cable Ethernet de Categoría 5
#From: help652,Post Office Protocol 3 is used for receiving email
help652,Protocolo de Oficina de Correo 3 se utiliza para recibir correo electrónico
#From: help653,A logical channel endpoint in a network. A computer might have only one physical channel (its Ethernet channel) but can have multiple ports (logical channels) each identified by a number.
help653,Un extremo de canal lógico en una red. Un ordenador podría tener solamente un canal físico (su canal Ethernet) pero puede tener varios puertos (canales lógicos) cada uno de ellos identificado con un número.
#From: help654,PPP
help654,PPP
#From: help655,Point-to-Point Protocol is used for two computers to communicate with each over a serial interface, like a phone line
help655,El Protocolo Punto a Punto se utiliza para que dos ordenadores se comuniquen entre sí mediante una interfaz serie, como una línea telefónica
#From: help656,Point-to-Point Protocol over Ethernet is used to connect multiple computers to a remote server over Ethernet
help656,El Protocolo Punto a Punto a través de Ethernet se utiliza para conectar varios ordenadores a un servidor remoto a través de Ethernet
#From: help657,Point-to-Point Tunneling Protocol is used for creating VPN tunnels over the Internet between two networks
help657,El Protocolo de Túnel Punto a Punto se utiliza para crear túneles VPN a través de Internet entre dos redes
#From: help658,Preamble
help658,Preamble (Preámbulo)
#From: help659,Used to synchronize communication timing between devices on a network
help659,Usado para sincronizar los tiempos de comunicación entre los dispositivos de una red
#From: help660,QoS
help660,QoS
#From: help661,Quality of Service
help661,Calidad de servicio
#From: help662,RADIUS
help662,RADIUS
#From: help663,Remote Authentication Dial-In User Service allows for remote users to dial into a central server and be authenticated in order to access resources on a network
help663,El Servicio Remoto de Llamada de Autenticación de Usuario permite a los usuarios remotos conectarse con un servidor central que les autenticará antes de poder acceder a los recursos de una red
#From: help664,Reboot
help664,Reiniciar
#From: help665,To restart a computer and reload it's operating software or firmware from nonvolatile storage.
help665,Reiniciar un ordenador y recargar su software operativo o firmware desde un almacenamiento no volátil.
#From: help666,Rendezvous
help666,Rendezvous
#From: help667,Apple's version of UPnP, which allows for devices on a network to discover each other and be connected without the need to configure any settings
help667,Versión de Apple del UpnP, que permite a los dispositivos de una red descubrirse entre sí y estar conectados sin la necesidad de configurar ninguna opción
#From: help668,Repeater
help668,Repetidor
#From: help669,Retransmits the signal of an Access Point in order to extend it's coverage
help669,Retransmite la señal de un Punto de Acceso para ampliar su cobertura
#From: help670,RIP
help670,RIP
#From: help671,Routing Information Protocol is used to synchronize the routing table of all the routers on a network
help671,El Protocolo de Información de Enrutamiento se utiliza para sincronizar la tabla de enrutamiento de todos los enrutadores de una red
#From: help672,RJ-11
help672,RJ-11
#From: help673,The most commonly used connection method for telephones
help673,El método de conexión más utilizado para los teléfonos
#From: help674,RJ-45
help674,RJ-45
#From: help675,The most commonly used connection method for Ethernet
help675,El método de conexión más utilizado para Ethernet
#From: help676,RS-232C
help676,RS-232C
#From: help677,The interface for serial communication between computers and other related devices
help677,La interfaz para la comunicación serie entre ordenadores y otros dispositivos asociados
#From: help678,RSA
help678,RSA
#From: help679,Algorithm used for encryption and authentication
help679,Algoritmo utilizado para el cifrado y la autenticación
#From: help680,Server
help680,Servidor
#From: help681,A computer on a network that provides services and resources to other computers on the network
help681,Un ordenador de una red que proporciona servicios y recursos a otros ordenadores de la misma
#From: help682,Session key
help682,Clave de sesión
#From: help683,An encryption and decryption key that is generated for every communication session between two computers
help683,Una clave de cifrado y descifrado que se genera para cada sesión de comunicación entre dos ordenadores
#From: help684,Session layer
help684,Capa de sesión
#From: help685,The fifth layer of the OSI model which coordinates the connection and communication between applications on both ends
help685,La quinta capa del modelo OSI que coordina la conexión y la comunicación entre aplicaciones en ambos extremos
#From: help686,Simple Mail Transfer Protocol
help686,Protocolo Simple de Transferencia de Correo
#From: help687,Used for sending and receiving email
help687,Utilizado para enviar y recibir correo electrónico
#From: help688,Simple Network Management Protocol
help688,Protocolo Simple de Administración de Redes
#From: help689,Governs the management and monitoring of network devices
help689,Dirige la administración y supervisión de los dispositivos de una red
#From: help690,Session Initiation Protocol. A standard protocol for initiating a user session that involves multimedia content, such as voice or chat.
help690,Protocolo de Inicio de Sesión. Un protocolo estándar para iniciar una sesión de usuario que incluye contenido multimedia, tal como voz o chat.
#From: help692,SNMP
help692,SNMP
#From: help693,SOHO
help693,SOHO
#From: help694,Small Office/Home Office
help694,Oficina pequeña/oficina en casa
#From: help695,SPI
help695,SPI
#From: help696,Stateful Packet Inspection
help696,Inspección de Paquetes de Estado completo
#From: help697,SSH
help697,SSH
#From: help698,Secure Shell is a command line interface that allows for secure connections to remote computers
help698,Secure Shell es una interfaz de línea de comandos que permite conexiones seguras con ordenadores remotos
#From: help699,SSID
help699,SSID
#From: help700,Service Set Identifier is a name for a wireless network
help700,Service Set Identifier (Identificador de Grupos de Servicios) es un nombre para la red inalámbrica
#From: help701,Stateful inspection
help701,Inspección de estado completo
#From: help702,A feature of a firewall that monitors outgoing and incoming traffic to make sure that only valid responses to outgoing requests are allowed to pass though the firewall
help702,Función de los cortafuegos que supervisa el tráfico de salida y entrada para garantizar que, solamente, se permite el paso a través del cortafuegos  las respuestas válidas de las peticiones salientes
#From: help703,Subnet mask
help703,Máscara de subred
#From: help705,System Logger -- a distributed logging interface for collecting in one place the logs from different sources. Originally written for UNIX, it is now available for other operating systems, including Windows.
help705,Registrador de datos del sistema: una interfaz de registros distribuidos para recoger en un único lugar los registros provenientes de diferentes fuentes. Escrito originalmente para UNIX, está disponible ahora para otros sistemas operativos, incluido Windows.
#From: help706,Transmission Control Protocol
help706,Protocolo de Control de Transmisiones
#From: help707,TCP/IP
help707,TCP/IP
#From: help708,Transmission Control Protocol/Internet Protocol
help708,Protocolo de Control de Transmisiones/Protocolo de Internet
#From: help709,TCP Raw
help709,TCP Raw (TCP en bruto)
#From: help710,A TCP/IP protocol for transmitting streams of printer data.
help710,Un protocolo TCP/IP para transmitir secuencias de datos de impresoras.
