
#From:.authword,Enter the correct password above and then type the characters you see in the picture below.
.authword,Immettere la password corretta, quindi digitare i caratteri visualizzati nell'immagine seguente.
#From:regenerate,Regenerate
regenerate,Ricrea
#From: wprn.foo1,The Printer Setup Wizard requires the raw TCP port printing protocol. This protocol is currently disabled on your router.
wprn.foo1,La procedura di installazione della stampante richiede il protocollo di stampa della porta TCP raw. Questo protocollo è attualmente disabilitato sul router.
#From: wprn.tt3,If you are not authorized to modify the router's configuration, contact the router administrator.
wprn.tt3,Se non si è autorizzati a modificare la configurazione del router, rivolgersi all'amministratore del router.
#From: wprn.man,Manufacturer
wprn.man,Produttore
#From: wprn.mod,Model
wprn.mod,Modello
#From: wprn.nopr,No Printer Detected
wprn.nopr,Nessuna stampante rilevata
#From: wprn.nopr2,The setup wizard was unable to communicate with the printer.
wprn.nopr2,La procedura di installazione e la stampante non comunicano.
#From: wprn.tt11,Verify that a printer is attached to the router's USB port.
wprn.tt11,Verificare che una stampante sia collegata alla porta USB del router.
#From: wprn.tt4,Verify that the printer is turned on.
wprn.tt4,Verificare che la stampante sia accesa.
#From: wprn.cps,Check Printer Status
wprn.cps,Controllare lo stato della stampante
#From: wprn.cps2,The current printer status will result in the test page failing to print later in the setup process.
wprn.cps2,Lo stato corrente della stampante non consente di stampare una pagina di prova nelle fasi successive della procedura di installazione.
#From: wprn.iderr,Printer Device ID Error
wprn.iderr,Errore ID della stampante
#From: wprn.iderr2,The printer manufacturer and/or model could not be determined, possibly due to an invalid device ID reported by the printer. The wizard cannot continue without this information.
wprn.iderr2,Non è stato possibile determinare il numero del modello e/o il nome del produttore della stampante forse a causa di un ID della periferica non valido riportato dalla stampante. Non è possibile continuare la procedura guidata senza queste informazioni.
#From: wprn.tt8,Unplug and reinsert the printer's USB cable.
wprn.tt8,Scollegare e reinserire il cavo USB della stampante.
#From: wprn.s2a,To complete the setup process, the wizard will now launch an executable file on your computer.
wprn.s2a,Per completare la procedura di installazione, viene avviato un file eseguibile sul computer.
#From: wprn.s3b,If the progress bar did not appear, the setup executable did not launch and setup is not yet complete. Refer to the Troubleshooting Tips section below.
wprn.s3b, Se la barra di avanzamento dell??installazione non comparisse, la procedura di setup non è stata eseguita e  non è stata ancora conclusa . Fare riferimento alla guida alla risoluzione dei problemi qui sotto.
#From: wprn.s3c,The setup executable will search for a compatible printer driver on your computer. If one cannot be found, you will be prompted to insert the driver CD that shipped with the printer.
wprn.s3c, Il setup cercher? un driver compatibile con la stampante sul vostro computer. Se non ne verr? trovato uno vi verr? chiesto di inserire il CD contenente i driver fornito a corredo della stampante.
#From: wprn.s3d,Alternatively, you can direct the setup executable to a folder on your computer containing a printer driver you have downloaded from the printer manufacturer's web site.
wprn.s3d, Alternativamente, potete indicare al setup una cartella in cui sono contenuti i driver della stampante che avete scaricato dal sito del produttore
#From: .badWANsub,Invalid WAN subnet mask.
.badWANsub,Subnet mask della WAN non valida.
#From: wwa.pv5.alert.4,Invalid Gateway IP address.
wwa.pv5.alert.4,Indirizzo IP del gateway non valido.
#From: wwa.pv5.alert.5,The gateway IP address is not in the WAN subnet
wwa.pv5.alert.5, Il indirizzo IP del gateway non è nella subnet della WAN
#From: wwa.pv5.alert.8,You must specify the primary DNS server
wwa.pv5.alert.8, Dovete specificare l??indirizzo del server DNS primario
#From: wwa.pv5.alert.6,Invalid Primary DNS IP address.
wwa.pv5.alert.6,Indirizzo IP DNS principale non valido.
#From: wwa.pv5.alert.7,Invalid Secondary DNS IP address.
wwa.pv5.alert.7,Indirizzo IP DNS secondario non valido.
#From: wwa.pv5.alert.21,The User Name field can not be blank
wwa.pv5.alert.21, Il campo ??nome d\'utente??non può essere lasciato vuoto
#From: .badPPTPgwip,Invalid PPTP Gateway IP Address
.badPPTPgwip, Indirizzo IP del gateway PPTP non valido
#From: wwa.pv5.alert.15,Invalid PPTP Server address
wwa.pv5.alert.15, Indirizzo IP del server PPTP non valido
#From: .badL2TPgwip,Invalid L2TP Gateway IP Address
.badL2TPgwip, Indirizzo IP del gateway L2TP non valido
#From: wwa.pv5.alert.20,Invalid L2TP Server address
wwa.pv5.alert.20, Indirizzo IP del server L2TP non valido
#From: wwa.title.wel,Welcome to the D-Link Internet Connection Setup Wizard
wwa.title.wel, Benvenuto al wizar per la creazione della D-Link connessione ad Internet
#From: wwa.intro.online1,It appears that you have already successfully connected your new router to the Internet.
wwa.intro.online1, Sembra che abbiate gi? collegato con successo il vostro nuovo router ad Internet.
#From: wwa.intro.online2,Click Next if you still want to secure the router with a password and set the time zone.
wwa.intro.online2, Cliccare su Avanti se si desidera rendere  sicuro il router con una password e regolare il fuso orario.
#From: wwa.intro.wel,This wizard will guide you through a step-by-step process to configure your new D-Link router and connect to the Internet.
wwa.intro.wel, Questo wizard vi guider? con un processo graduale per configurare il vostro nuovo D-Link router e collegarvi ad Internet.
#From: wwa.title.s1,Step 1: Set your Password
wwa.title.s1, Punto 1: Impostate la vostra password
#From: wwa.title.s2,Step 2: Select your Time Zone
wwa.title.s2, Punto 2: Selezionate il vostro fuso orario
#From: wwa.title.s3,Step 3: Configure your Internet Connection
wwa.title.s3, Punto 3: Configurate la vostra connessione ad Internet
#From: wwa.title.s4,Step 4: Save Settings and Connect
wwa.title.s4, Punto 4: Salvate le impostazioni e collegarsi
#From: wwa.intro.s1,By default, your new D-Link Router does not have a password configured for administrator access to the Web-based configuration pages. To secure your new networking device, please set and verify a password below:
wwa.intro.s1, Il vostro nuovo  D-Link Router non ha impostato alcuna  password di default per l??accesso alle pagine web di configurazione. Per limitarer e rendere sicuro l??accesso a queste pagine, imposti e verifichi una password qui sotto:
#From: wwa.intro.s2,Select the appropriate time zone for your location. This information is required to configure the time-based options for the router.
wwa.intro.s2, Selezioni il fuso orario della vostra zona geografica. Queste informazioni sono richieste per configurare le opzioni basate sulll??ora del vostro router.
#From: wwa.intro.s3,Your Internet Connection could not be detected, please select your Internet Service Provider (ISP) from the list below. If your ISP is not listed; select the "Not Listed or Don't Know" option to manually configure your connection.
wwa.intro.s3, Le impostazione della vostra connessione ad internet potrebbero non essere rilevate. Selezionate il vostro Internet Service Provider (ISP) dalla lista qui sotto. Se il vostro ISP non è qui elencato scegliete l??opzione "Non elencato o non conosciuto" per configurare manualmente la vostra connessione.
#From: wwa.selectisp.not,Not Listed or Don't Know
wwa.selectisp.not, Non elencato o non conosciuto
#From: wwa.msg.ispnot,If your Internet Service Provider was not listed or you don't know who it is, please select the Internet connection type below:
wwa.msg.ispnot, Se il vostro Internet Service Provider non fosse elencato o non lo conoscete, selezionate il tipo di collegamento di Internet qui sotto:
#From: .dhcpconn,DHCP Connection (Dynamic IP Address)
.dhcpconn, Collegamento con DHCP (Indirizzo IP Dinamico)
#From: wwa.msg.dhcp,Choose this if your Internet connection automatically provides you with an IP Address. Most Cable Modems use this type of connection.
wwa.msg.dhcp, Scelgiete questo se il vostro collegamento ad Internet vi fornisce automaticamente un Indirizzo IP. La maggior parte dei Modem usano questo tipo di collegamento.
#From: wwa.wanmode.pppoe,Username / Password Connection (PPPoE)
wwa.wanmode.pppoe, Username e Password di connessione (PPPoE)
#From: wwa.msg.pppoe,Choose this option if your Internet connection requires a username and password to get online. Most DSL modems use this type of connection.
wwa.msg.pppoe, Scelgliete questa opzione se il vostro collegamento di Internet richiede un nome utente ed una password per ottenere in linea. La maggior parte dei modem DSL usano questo tipo di collegamento.
#From: wwa.wanmode.pptp,Username / Password Connection (PPTP)
wwa.wanmode.pptp, Username e Password di connessione (PPTP)
#From: wwa.msg.pptp,PPTP client.
wwa.msg.pptp, Client PPTP.
#From: wwa.wanmode.l2tp,Username / Password Connection (L2TP)
wwa.wanmode.l2tp, Username e Password di connessione (L2TP)
#From: wwa.msg.l2tp,L2TP client.
wwa.msg.l2tp, Client L2TP.
#From: wwa.wanmode.sipa,Static IP Address Connection
wwa.wanmode.sipa, Indirizzo  IP Statico di collegamento
#From: wwa.msg.sipa,Choose this option if your Internet Setup Provider provided you with IP Address information that has to be manually configured.
wwa.msg.sipa, Scelgliete questa opzione se il vostro Internet Setup Provider (ISP) vi fornisce dei parametri di connessione  IP che devono essere inseriti manualmente.
#From: wwa.wanmode.bigpond,BigPond
wwa.wanmode.bigpond,BigPond
#From: wwa.msg.bigpond,BigPond Cable (Australia)
wwa.msg.bigpond, BigPond Cable (Australia)
#From: wwa.msg.set.dhcp,To set up this connection, please make sure that you are connected to the D-Link Router with the PC that was originally connected to your broadband connection. If you are, then click the Clone MAC button to copy your computer's MAC Address to the D-Link Router.
wwa.msg.set.dhcp, Per configurare questa connessione assicuratevi di essere collegati al D-Link Router con il PC che originalmente era collegato alla vostra connessione broadband. Se così fosse cliccate sul pulsante ??Clonare MAC address??per copiare l??indirizzo  MAC della scehda di rete del vostro PC e darlo al  D-Link Router.
#From: wwa.note.hostname,Note: You may also need to provide a Host Name. If you do not have or know this information, please contact your ISP.
wwa.note.hostname, Nota: Potreste anche avere bisogno di fornire un Host name. Se non avete o non conoscete questa informazione mettetevi in contatto con il vostro ISP.
#From: wwa.title.set.pppoe,Set Username and Password Connection (PPPoE)
wwa.title.set.pppoe, Impostare il nome utente e la password per il Collegamento (PPPoE)
#From: wwa.msg.set.pppoe,To set up this connection you will need to have a Username and Password from your Internet Service Provider. If you do not have this information, please contact your ISP.
wwa.msg.set.pppoe, Per impostare questo collegamento dovrete avere un nome utente ed una paasword fornitevi dal vostro Internet Service Provider (ISP). Se non avete queste informazioni mettetevi in contatto con il vostro ISP.
#From: wwa.note.svcn,Note: You may also need to provide a Service Name. If you do not have or know this information, please contact your ISP.
wwa.note.svcn, Nota: Potreste aver anche bisogno di fornire il nome del Service Provider. Se non avete o non conoscete queste informazioni mettatevi in contatto con il vostro ISP.
#From: wwa.msg.set.pptp,To set up this connection you will need to have a Username and Password from your Internet Service Provider. You also need PPTP IP adress. If you do not have this information, please contact your ISP.
wwa.msg.set.pptp, Per impostare questo collegamento dovrete avere un nome utente ed una password fornitevi dal vostro Internet Service Provider (ISP). Inoltre avete bisogno dell??indirizzo IP del server PPTP. Se non avete queste informazioni mettetevi in contatto con il vostro ISP.
#From: wwa.pptp.svraddr,PPTP Server IP Address (may be same as gateway)
wwa.pptp.svraddr, Indirizzo IP del server PPTP (puo essere lo stesso del gateway)
#From: wwa.set.l2tp.title,Set Username and Password Connection (L2TP)
wwa.set.l2tp.title, Impostare il nome utente e la password per il Collegamento (L2TP)
#From: wwa.set.l2tp.msg,To set up this connection you will need to have a Username and Password from your Internet Service Provider. You also need L2TP IP adress. If you do not have this information, please contact your ISP.
wwa.set.l2tp.msg, Per inpostare questo collegamento dovrete avere un nome utente ed una password fornitavi dal vostro Internet Service Provider. Inoltre avete bisogno di un indirizzo IP L2TP. Se non avete queste informazioni mettetevi in contatto con il vostro ISP.
#From: wwa.l2tp.svra,L2TP Server IP Address (may be same as gateway)
wwa.l2tp.svra,Indirizzo IP server L2TP (può corrispondere a quello del gateway)
#From: wwa.set.sipa.title,Set Static IP Address Connection
wwa.set.sipa.title, Impostare l??indirizzo IP Statico di collegamento
#From: wwa.set.sipa.msg,To set up this connection you will need to have a complete list of IP information provided by your Internet Service Provider. If you have a Static IP connection and do not have this information, please contact your ISP.
